group, marker_id, image0, image1, dx, dy, d
grp0, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp0, 1, 0.png, 1.png, -0.051428571428571435, 0.0, 0.051428571428571435
grp0, 2, 0.png, 1.png, -0.10285714285714287, 0.0, 0.10285714285714287
grp0, 3, 0.png, 1.png, -0.20571428571428574, 0.0, 0.20571428571428574
grp0, 4, 0.png, 1.png, -0.4114285714285715, 0.0, 0.4114285714285715
grp0, 5, 0.png, 1.png, -0.8057142857142857, 0.0, 0.8057142857142857
grp0, 6, 0.png, 1.png, -1.6114285714285714, 0.0, 1.6114285714285714
grp0, 7, 0.png, 1.png, -3.222857142857143, 0.0, 3.222857142857143
grp1, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp1, 1, 0.png, 1.png, -0.05214421310750333, 0.0, 0.05214421310750333
grp1, 2, 0.png, 1.png, -0.10428842621500665, 0.0, 0.10428842621500665
grp1, 3, 0.png, 1.png, -0.2084185218505455, 0.0, 0.2084185218505455
grp1, 4, 0.png, 1.png, -0.4168289427795169, 0.0, 0.4168289427795169
grp1, 5, 0.png, 1.png, -0.8162517248205353, 0.017367057974905006, 0.816436459851716
grp1, 6, 0.png, 1.png, -1.6152435443417275, 0.0, 1.6152435443417275
grp1, 7, 0.png, 1.png, -3.2677040214035418, 0.0, 3.2677040214035418
grp2, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp2, 1, 0.png, 1.png, -0.0522727159932759, 0.0, 0.0522727159932759
grp2, 2, 0.png, 1.png, -0.10449781171210164, 0.0, 0.10449781171210164
grp2, 3, 0.png, 1.png, -0.20895045989017616, 0.0, 0.20895045989017616
grp2, 4, 0.png, 1.png, -0.4179009197803523, 0.0, 0.4179009197803523
grp2, 5, 0.png, 1.png, -0.8183893012365233, 0.0, 0.8183893012365233
grp2, 6, 0.png, 1.png, -1.6357781145114922, 0.0, 1.6357781145114922
grp2, 7, 0.png, 1.png, -3.256144666621912, 0.0, 3.256144666621912
grp3, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp3, 1, 0.png, 1.png, -0.05206874348174058, 0.0, 0.05206874348174058
grp3, 2, 0.png, 1.png, -0.08684158777772497, 0.0, 0.08684158777772497
grp3, 3, 0.png, 1.png, -0.2084314843831167, 0.0, 0.2084314843831167
grp3, 4, 0.png, 1.png, -0.39976837751988903, 0.0, 0.39976837751988903
grp3, 5, 0.png, 1.png, -0.8163496515049183, 0.0, 0.8163496515049183
grp3, 6, 0.png, 1.png, -1.6164518858191599, 0.0, 1.6164518858191599
grp3, 7, 0.png, 1.png, -3.2676991103501103, 0.0, 3.2676991103501103
grp4, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp4, 1, 0.png, 1.png, -0.05190997251382867, 0.0, 0.05190997251382867
grp4, 2, 0.png, 1.png, -0.10381994502765735, 0.0, 0.10381994502765735
grp4, 3, 0.png, 1.png, -0.2076453907450533, 0.0, 0.2076453907450533
grp4, 4, 0.png, 1.png, -0.41557014125322267, 0.0, 0.41557014125322267
grp4, 5, 0.png, 1.png, -0.8138464344606899, 0.0, 0.8138464344606899
grp4, 6, 0.png, 1.png, -1.626512472099965, 0.0, 1.626512472099965
grp4, 7, 0.png, 1.png, -3.235721620028654, 0.0, 3.235721620028654
grp5, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp5, 1, 0.png, 1.png, -0.052170834930251986, 0.0, 0.052170834930251986
grp5, 2, 0.png, 1.png, -0.10437972641696835, 0.0, 0.10437972641696835
grp5, 3, 0.png, 1.png, -0.20893610049637132, 0.0, 0.20893610049637132
grp5, 4, 0.png, 1.png, -0.4175189056678734, 0.0, 0.4175189056678734
grp5, 5, 0.png, 1.png, -0.8183330602774543, 0.0, 0.8183330602774543
grp5, 6, 0.png, 1.png, -1.6352823805325043, 0.0, 1.6352823805325043
grp5, 7, 0.png, 1.png, -3.253168139995514, 0.0, 3.253168139995514
grp6, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp6, 1, 0.png, 1.png, -0.05217099644140705, 0.0, 0.05217099644140705
grp6, 2, 0.png, 1.png, -0.10443708523670647, 0.0, 0.10443708523670647
grp6, 3, 0.png, 1.png, -0.2088755758850955, 0.017406297990424625, 0.2095995835183404
grp6, 4, 0.png, 1.png, -0.41813585140405307, 0.0, 0.41813585140405307
grp6, 5, 0.png, 1.png, -0.8188493756662706, 0.0, 0.8188493756662706
grp6, 6, 0.png, 1.png, -1.6361810020417347, 0.0, 1.6361810020417347
grp6, 7, 0.png, 1.png, -3.2579751755232467, 0.0, 3.2579751755232467
grp7, 0, 0.png, 1.png, 0.0, 0.0, 0.0
grp7, 1, 0.png, 1.png, -0.03480650380682858, 0.0, 0.03480650380682858
grp7, 2, 0.png, 1.png, -0.08721433145527027, 0.0, 0.08721433145527027
grp7, 3, 0.png, 1.png, -0.20917370969356397, 0.0, 0.20917370969356397
grp7, 4, 0.png, 1.png, -0.40062086708766553, 0.0, 0.40062086708766553
grp7, 5, 0.png, 1.png, -0.8192368947112156, 0.0, 0.8192368947112156
grp7, 6, 0.png, 1.png, -1.6210962501251207, 0.0, 1.6210962501251207
grp7, 7, 0.png, 1.png, -3.261815996427108, 0.0, 3.261815996427108
