group, image, marker_id, v0_x, v0_y, v1_x, v1_y, v2_x, v2_y, v3_x, v3_y
grp0, 0.png, 7, 473.0, 1367.0, 648.0, 1367.0, 648.0, 1542.0, 473.0, 1542.0
grp0, 0.png, 6, 239.0, 1367.0, 414.0, 1367.0, 414.0, 1542.0, 239.0, 1542.0
grp0, 0.png, 5, 591.0, 1074.0, 766.0, 1074.0, 766.0, 1249.0, 591.0, 1249.0
grp0, 0.png, 4, 239.0, 1074.0, 414.0, 1074.0, 414.0, 1249.0, 239.0, 1249.0
grp0, 0.png, 3, 708.0, 664.0, 883.0, 664.0, 883.0, 839.0, 708.0, 839.0
grp0, 0.png, 2, 239.0, 664.0, 414.0, 664.0, 414.0, 839.0, 239.0, 839.0
grp0, 0.png, 1, 825.0, 137.0, 1000.0, 137.0, 1000.0, 312.0, 825.0, 312.0
grp0, 0.png, 0, 239.0, 137.0, 414.0, 137.0, 414.0, 312.0, 239.0, 312.0
grp0, 1.png, 7, 661.0, 1367.0, 836.0, 1367.0, 836.0, 1542.0, 661.0, 1542.0
grp0, 1.png, 6, 333.0, 1367.0, 508.0, 1367.0, 508.0, 1542.0, 333.0, 1542.0
grp0, 1.png, 5, 638.0, 1074.0, 813.0, 1074.0, 813.0, 1249.0, 638.0, 1249.0
grp0, 1.png, 4, 263.0, 1074.0, 438.0, 1074.0, 438.0, 1249.0, 263.0, 1249.0
grp0, 1.png, 3, 720.0, 664.0, 895.0, 664.0, 895.0, 839.0, 720.0, 839.0
grp0, 1.png, 2, 245.0, 664.0, 420.0, 664.0, 420.0, 839.0, 245.0, 839.0
grp0, 1.png, 1, 828.0, 137.0, 1003.0, 137.0, 1003.0, 312.0, 828.0, 312.0
grp0, 1.png, 0, 239.0, 137.0, 414.0, 137.0, 414.0, 312.0, 239.0, 312.0
grp0, 2.png, 7, 479.0, 1367.0, 651.0, 1369.0, 643.0, 1542.0, 471.0, 1540.0
grp0, 2.png, 6, 245.0, 1367.0, 417.0, 1369.0, 409.0, 1542.0, 237.0, 1540.0
grp0, 2.png, 5, 597.0, 1074.0, 769.0, 1077.0, 760.0, 1250.0, 588.0, 1247.0
grp0, 2.png, 4, 245.0, 1074.0, 417.0, 1076.0, 408.0, 1250.0, 237.0, 1247.0
grp0, 2.png, 3, 714.0, 664.0, 886.0, 666.0, 878.0, 839.0, 705.0, 837.0
grp0, 2.png, 2, 245.0, 664.0, 417.0, 666.0, 409.0, 839.0, 237.0, 837.0
grp0, 2.png, 1, 831.0, 137.0, 1003.0, 139.0, 995.0, 312.0, 823.0, 310.0
grp0, 2.png, 0, 245.0, 137.0, 417.0, 139.0, 409.0, 312.0, 237.0, 310.0
grp0, 3.png, 7, 667.0, 1367.0, 839.0, 1369.0, 831.0, 1542.0, 659.0, 1540.0
grp0, 3.png, 6, 339.0, 1367.0, 511.0, 1369.0, 503.0, 1542.0, 330.0, 1540.0
grp0, 3.png, 5, 643.0, 1074.0, 815.0, 1076.0, 807.0, 1250.0, 635.0, 1247.0
grp0, 3.png, 4, 268.0, 1074.0, 440.0, 1076.0, 432.0, 1250.0, 260.0, 1247.0
grp0, 3.png, 3, 725.0, 664.0, 897.0, 666.0, 889.0, 839.0, 717.0, 837.0
grp0, 3.png, 2, 251.0, 664.0, 423.0, 666.0, 415.0, 839.0, 243.0, 837.0
grp0, 3.png, 1, 834.0, 137.0, 1006.0, 139.0, 998.0, 312.0, 826.0, 310.0
grp0, 3.png, 0, 245.0, 137.0, 417.0, 139.0, 409.0, 312.0, 237.0, 310.0
grp0, 4.png, 7, 486.0, 1363.0, 662.0, 1381.0, 636.0, 1547.0, 461.0, 1529.0
grp0, 4.png, 6, 251.0, 1363.0, 427.0, 1381.0, 402.0, 1547.0, 226.0, 1529.0
grp0, 4.png, 5, 603.0, 1070.0, 779.0, 1088.0, 754.0, 1254.0, 578.0, 1236.0
grp0, 4.png, 4, 251.0, 1070.0, 427.0, 1088.0, 402.0, 1254.0, 226.0, 1236.0
grp0, 4.png, 3, 720.0, 660.0, 896.0, 678.0, 871.0, 844.0, 695.0, 826.0
